,ROI,Pval,FDR,COR
1,X10000.28,0.846307385229541,0.0186385801273937,NA
2,X10001.7,0.854291417165669,0.0178452341151743,NA
3,X10003.15,0.313373253493014,0.140216390608651,NA
4,X10006.25,0.437125748502994,0.0955216778162018,NA
5,X10008.43,0.988023952095808,0.00224767338421477,NA
6,X10010.10,0.305389221556886,0.143768465965878,NA
7,X10011.65,0.353293413173653,0.125353971677038,NA
8,X10012.5,0.830339321357285,0.0205045463995752,NA
9,X10014.31,0.746506986027944,0.0338046397682153,NA
10,X10015.119,0.894211576846307,0.0126599774260013,NA
11,X10022.207,0.996007984031936,0.00105496099597207,NA
12,X10023.32,0.161676646706587,0.226336984196648,NA
13,X10024.44,0.121756487025948,0.269490724451302,NA
14,X10025.1,0.0386409060626249,0.425374176172271,NA
15,X10030.8,0.245508982035928,0.169514067485813,NA
16,X10035.6,0.0119973339257943,0.49521257805231,NA
17,X10037.98,0.854291417165669,0.0178452341151743,NA
18,X10039.32,0.570858283433134,0.0614843077026988,NA
19,X10040.63,0.740518962075848,0.0346833083851133,NA
20,X10041.3,0.105788423153693,0.283816489248328,NA
21,X10042.8,0.169660678642715,0.219290933154522,NA
22,X10043.31,0.706586826347305,0.0377949505328656,NA
23,X10045.47,0.489021956087824,0.0808172369618439,NA
24,X10046.55,0.694610778443114,0.0390655508635629,NA
25,X10047.12,0.728542914171657,0.0361496686328195,NA
26,X10048.7,0.261477045908184,0.163158162295968,NA
27,X10049.112,0.706586826347305,0.0377949505328656,NA
28,X10053.5,0.499001996007984,0.0784139843964033,NA
29,X10054.3,0.99001996007984,0.00187009821663076,NA
30,X10056.5,0.0222172850477672,0.465206231533073,NA
31,X10058.1,0.936127744510978,0.00726173064472134,NA
32,X10063.10,0.588822355289421,0.0578111949173633,NA
33,X10064.12,0.936127744510978,0.00726173064472134,NA
34,X10069.2,0.11377245508982,0.276482029349362,NA
35,X10070.22,0.796407185628742,0.0266182790012962,NA
36,X10073.22,0.0224394578982448,0.465206231533073,NA
37,X10074.128,0.662674650698603,0.0452499632180711,NA
38,X10075.75,0.852295409181637,0.0179551134499715,NA
39,X10076.1,0.325349301397206,0.134956039411967,NA
40,X10078.5,0.82435129740519,0.021482272126078,NA
41,X10080.9,0.0686209193870753,0.350970819060985,NA
42,X10081.17,0.736526946107784,0.0350173574125299,NA
43,X10082.251,0.407185628742515,0.103441990098334,NA
44,X10085.25,0.946107784431138,0.00678945122374387,NA
45,X10086.39,0.782435129740519,0.0282618831400373,NA
46,X10087.10,0.766467065868264,0.0301086377948245,NA
47,X10088.37,0.283433133732535,0.154513707824026,NA
48,X10089.7,0.0859427048634244,0.319186528185174,NA
49,X10336.3,0.157684630738523,0.231236160508018,NA
50,X10339.48,0.139720558882236,0.248695313533438,NA
51,X10342.55,0.908183632734531,0.0107461884183471,NA
52,X10346.5,0.337325349301397,0.132726645189052,NA
53,X10351.51,0.0088141619139323,0.527288217675414,NA
54,X10354.57,0.25748502994012,0.164037530382714,NA
55,X10356.21,0.604790419161677,0.0555868442373481,NA
56,X10361.25,0.483033932135729,0.0822577462251639,NA
57,X10362.35,0.157684630738523,0.231236160508018,NA
58,X10363.13,0.74251497005988,0.0346716772626427,NA
59,X10364.6,0.245508982035928,0.169514067485813,NA
60,X10365.132,0.155688622754491,0.234454874418827,NA
61,X10366.11,0.01621861808487,0.469422461995531,NA
62,X10367.62,0.323353293413174,0.136090311998863,NA
63,X10370.21,0.962075848303393,0.00427992864671486,NA
64,X10372.18,0.115768463073852,0.273443038824283,NA
65,X10382.1,0.217564870259481,0.187700151544204,NA
66,X10390.21,0.0399733510992672,0.425374176172271,NA
67,X10391.1,0.465069860279441,0.087751747991042,NA
68,X10396.6,0.0242168407020662,0.45886034501602,NA
69,X10398.110,0.644710578842315,0.0472130612338297,NA
70,X10418.36,0.167664670658683,0.221998782640076,NA
71,X10419.1,0.552894211576846,0.0647833147423863,NA
72,X10420.30,0.596806387225549,0.0557229656562245,NA
73,X10425.3,0.48502994011976,0.0818447112126691,NA
74,X10428.1,0.0832778147901399,0.323428468961644,NA
75,X10430.31,0.960079840319361,0.00454359750750058,NA
76,X10432.3,0.0546302465023318,0.382174447725441,NA
77,X10435.2,0.445109780439122,0.0934252350700248,NA
78,X10438.19,0.255489021956088,0.164037530382714,NA
79,X10439.57,0.203592814371257,0.194532184016742,NA
80,X10440.26,0.600798403193613,0.0555868442373481,NA
81,X10442.1,0.431137724550898,0.0968218671823218,NA
82,X10445.20,0.29940119760479,0.147827146203338,NA
83,X10447.18,0.92814371257485,0.0080911962560653,NA
84,X10449.31,0.920159680638723,0.00942812191158305,NA
85,X10451.11,0.0275494334592313,0.455879698352456,NA
86,X10453.7,0.291417165668663,0.151239210570767,NA
87,X10454.99,0.630738522954092,0.0487228460220158,NA
88,X10455.196,0.11377245508982,0.276482029349362,NA
89,X10457.3,0.329341317365269,0.134794412180342,NA
90,X10462.14,0.37125748502994,0.118248550506273,NA
91,X10463.23,0.0197733836925128,0.469422461995531,NA
92,X10464.6,0.6187624750499,0.0516575941457936,NA
93,X10472.53,0.0193290379915574,0.469422461995531,NA
94,X10473.2,0.489021956087824,0.0808172369618439,NA
95,X10479.18,0.461077844311377,0.0890938532892276,NA
96,X10480.33,0.538922155688623,0.0677121973738703,NA
97,X10490.3,0.349301397205589,0.127079427732606,NA
98,X10496.11,0.323353293413174,0.136090311998863,NA
99,X10499.1,0.393213572854291,0.109638595017571,NA
100,X10505.12,0.351297405189621,0.125926862843046,NA
101,X10506.53,0.421157684630739,0.0999199955061228,NA
102,X10507.166,0.0313263719173517,0.438813119263226,NA
103,X10510.62,0.654690618762475,0.0463655354184714,NA
104,X10512.13,0.253493013972056,0.165079058488274,NA
105,X10513.13,0.854291417165669,0.0178452341151743,NA
106,X10514.5,0.988023952095808,0.00224767338421477,NA
107,X10521.10,0.006147692763499,0.556392210452535,NA
108,X10527.22,0.145708582834331,0.243531113154139,NA
109,X10528.2,0.115256495669554,0.273443038824283,NA
110,X10530.8,0.159680638722555,0.227845174560318,NA
111,X10531.18,0.666666666666667,0.0439877089895995,NA
112,X10534.40,0.267465069860279,0.160428519537439,NA
