,ROI,Pval,FDR,COR
1,X10000.28,0.754491017964072,0.00672036918041498,0.185401970880307
2,X10001.7,0.427145708582834,0.0117578443934838,0.174039252344652
3,X10003.15,0.0855365474339036,0.0441943146162601,0.531648406399545
4,X10006.25,0.916167664670659,0.00587849143478135,0.0406570255375567
5,X10008.43,0.756487025948104,0.00672036918041498,0.291064207997048
6,X10010.10,0.107087313930238,0.033255326563641,0.54389482750142
7,X10011.65,0.352431712191872,0.0117578443934838,0.19695397765341
8,X10012.5,0.273151232511659,0.0120416265712433,0.3642752868658
9,X10014.31,0.313124583610926,0.0117578443934838,0.376198394558091
10,X10015.119,0.408394403730846,0.0117578443934838,0.424742374449311
11,X10022.207,0.6187624750499,0.00936858698006795,0.369202316851302
12,X10023.32,0.243171219187209,0.0120416265712433,0.53986472039751
13,X10024.44,0.44311377245509,0.0117578443934838,0.349844379496461
14,X10025.1,0.473053892215569,0.0117578443934838,-0.000339918000997493
15,X10030.8,0.403193612774451,0.0117578443934838,0.432671174983678
16,X10035.6,0.171885409726849,0.0203003624248232,0.620661165073859
17,X10037.98,0.322451698867422,0.0117578443934838,0.454972649699159
18,X10039.32,0.17854763491006,0.0172627892866304,0.264847730079798
19,X10040.63,0.205196535642905,0.0120416265712433,0.419646195331135
20,X10041.3,0.558882235528942,0.0102191073412113,-0.0285409694881969
21,X10042.8,0.20253164556962,0.0120416265712433,0.199593459160966
22,X10043.31,0.70059880239521,0.00672036918041498,0.20446452791618
23,X10045.47,0.828343313373254,0.00672036918041498,0.167575834681824
24,X10046.55,0.256495669553631,0.0120416265712433,0.253604354625415
25,X10047.12,0.6187624750499,0.00936858698006795,0.0767750431703868
26,X10048.7,0.718562874251497,0.00672036918041498,0.102915346666201
27,X10049.112,0.00548134613960149,0.117823964489372,0.722003767967003
28,X10053.5,0.842315369261477,0.00672036918041498,0.186556027045046
29,X10054.3,0.389073950699534,0.0117578443934838,0.40486897302638
30,X10056.5,0.465069860279441,0.0117578443934838,0.210348660929044
31,X10058.1,0.780439121756487,0.00672036918041498,-0.145365934638875
32,X10063.10,0.568862275449102,0.0102191073412113,0.313396381319113
33,X10064.12,0.246502331778814,0.0120416265712433,0.197823985768422
34,X10069.2,0.0391822827938671,0.0441943146162601,0.660412052217043
35,X10070.22,0.950099800399202,0.00400595304055346,-0.0129046306155238
36,X10073.22,0.730538922155689,0.00672036918041498,-0.0047282553926095
37,X10074.128,0.161892071952032,0.0244277699141979,0.323828764385856
38,X10075.75,0.950099800399202,0.00400595304055346,0.118183863019985
39,X10076.1,0.0717618307042879,0.0441943146162601,0.434321503977503
40,X10078.5,0.0859808931348589,0.0441943146162601,0.468499068046291
41,X10080.9,0.010073825337646,0.117823964489372,0.793571659386146
42,X10081.17,0.293804130579614,0.0117578443934838,0.37714455336305
43,X10082.251,0.838323353293413,0.00672036918041498,-0.187437595459912
44,X10085.25,0.524950099800399,0.0102191073412113,0.00766413166186316
45,X10086.39,0.483033932135729,0.0117578443934838,0.18695185254652
46,X10087.10,0.378414390406396,0.0117578443934838,0.412404942539486
47,X10088.37,0.362425049966689,0.0117578443934838,0.314659627825453
48,X10089.7,0.642714570858283,0.00936858698006795,0.165112433908589
49,X10336.3,0.183877415056629,0.0140555724927035,0.525213914582851
50,X10339.48,0.878243512974052,0.00630185860678656,-0.205813171733523
51,X10342.55,0.314457028647568,0.0117578443934838,0.368220509655521
52,X10346.5,0.62874251497006,0.00936858698006795,0.0407217903251804
53,X10351.51,0.958083832335329,0.00365520912905863,-0.283812849728147
54,X10354.57,0.259160559626915,0.0120416265712433,0.273103432133842
55,X10356.21,0.179213857428381,0.0169774960198932,0.394651814166544
56,X10361.25,0.257161892071952,0.0120416265712433,0.328395259679528
57,X10362.35,0.692614770459082,0.00691850078591892,0.205909260822807
58,X10363.13,0.0217020961410266,0.0853143667252891,0.594914366804176
59,X10364.6,0.415169660678643,0.0117578443934838,0.321200092132421
60,X10365.132,0.0150359232649433,0.117823964489372,0.531737938649702
61,X10366.11,0.235176548967355,0.0120416265712433,0.138988478851249
62,X10367.62,0.299133910726183,0.0117578443934838,0.513421943189855
63,X10370.21,0.632734530938124,0.00936858698006795,0.332962075519466
64,X10372.18,0.182544970019987,0.0140555724927035,0.312525515165169
65,X10382.1,0.622754491017964,0.00936858698006795,-0.0187926562078406
66,X10390.21,0.33910726182545,0.0117578443934838,0.399858252202409
67,X10391.1,0.0203688615658099,0.0908569007065695,0.33715105142879
68,X10396.6,0.149900066622252,0.0244277699141979,0.589096523043214
69,X10398.110,0.263157894736842,0.0120416265712433,0.388647231565876
70,X10418.36,0.642714570858283,0.00936858698006795,-0.0689118536990345
71,X10419.1,0.816367265469062,0.00672036918041498,0.0229550902362387
72,X10420.30,0.562874251497006,0.0102191073412113,0.293427065116785
73,X10425.3,0.568862275449102,0.0102191073412113,0.188882436209442
74,X10428.1,0.461077844311377,0.0117578443934838,0.174615995253541
75,X10430.31,0.487025948103792,0.0110403926625689,0.353619169224671
76,X10432.3,0.30979347101932,0.0117578443934838,0.564033994780713
77,X10435.2,0.554890219560878,0.0102191073412113,0.452888483942944
78,X10438.19,0.544910179640719,0.0102191073412113,-0.0455649481097426
79,X10439.57,0.373084610259827,0.0117578443934838,0.174775777347289
80,X10440.26,0.532934131736527,0.0102191073412113,0.0117077083693471
81,X10442.1,0.150633192623861,0.0244277699141979,0.404500714784846
82,X10445.20,0.360426382411726,0.0117578443934838,0.135921736388256
83,X10447.18,0.82435129740519,0.00672036918041498,0.00626643952395843
84,X10449.31,0.162558294470353,0.0244277699141979,0.35774493833482
85,X10451.11,0.467065868263473,0.0117578443934838,0.0244961013273492
86,X10453.7,0.622754491017964,0.00936858698006795,0.393204752011285
87,X10454.99,0.540918163672655,0.0102191073412113,0.462914403420974
88,X10455.196,0.483033932135729,0.0117578443934838,0.465779030778479
89,X10457.3,0.94810379241517,0.00400595304055346,-0.17705469350398
90,X10462.14,0.284477015323118,0.0117578443934838,0.352762875795759
91,X10463.23,0.325116588940706,0.0117578443934838,0.103328159389815
92,X10464.6,0.696606786427146,0.00681231403915149,0.195599147800913
93,X10472.53,0.758483033932136,0.00672036918041498,-0.053237002362356
94,X10473.2,0.0158506777275757,0.117823964489372,0.771184692110894
95,X10479.18,0.01636915784016,0.117823964489372,0.439668685633139
96,X10480.33,0.942115768463074,0.00408611603663651,-0.142422427487001
97,X10490.3,0.0174061180653285,0.117823964489372,0.411764516112751
98,X10496.11,0.457085828343313,0.0117578443934838,0.187381161707137
