,ROI,Pval,FDR,COR
1,X10000.28,0.688622754491018,0.0116439379254397,0.216850098898336
2,X10001.7,0.367265469061876,0.0135701529050879,0.193807006868822
3,X10003.15,0.0522106198622528,0.047981423525464,0.603065152318533
4,X10006.25,0.890219560878243,0.00651826202239836,0.0743758620345872
5,X10008.43,0.624750499001996,0.0116439379254397,0.380418788716951
6,X10010.10,0.0739506995336442,0.047981423525464,0.597633481288977
7,X10011.65,0.349301397205589,0.0135701529050879,0.189636932521976
8,X10012.5,0.20253164556962,0.0135701529050879,0.423502319592271
9,X10014.31,0.301397205588822,0.0135701529050879,0.407835369787441
10,X10015.119,0.399201596806387,0.0135701529050879,0.430912567155186
11,X10022.207,0.734530938123752,0.0112419498538803,0.327527078780037
12,X10023.32,0.329341317365269,0.0135701529050879,0.509546291028451
13,X10024.44,0.465069860279441,0.0135701529050879,0.362556413633287
14,X10025.1,0.536926147704591,0.0117115941424413,-0.0294969830149475
15,X10030.8,0.44311377245509,0.0135701529050879,0.459061033471737
16,X10035.6,0.179880079946702,0.0135701529050879,0.61505852847849
17,X10037.98,0.253493013972056,0.0135701529050879,0.496175683783883
18,X10039.32,0.279441117764471,0.0135701529050879,0.218889226192725
19,X10040.63,0.165223184543638,0.0200744783038694,0.462946154551379
20,X10041.3,0.584830339321357,0.0116439379254397,-0.0675183539469856
21,X10042.8,0.253493013972056,0.0135701529050879,0.163079547413317
22,X10043.31,0.696606786427146,0.0116439379254397,0.226854414967554
23,X10045.47,0.830339321357285,0.00841109468571887,0.179231040354863
24,X10046.55,0.249500998003992,0.0135701529050879,0.281598294748393
25,X10047.12,0.548902195608782,0.0116439379254397,0.110039433659187
26,X10048.7,0.650698602794411,0.0116439379254397,0.146887929806091
27,X10049.112,0.00466655144317424,0.0909518180890702,0.745552248935926
28,X10053.5,0.854291417165669,0.00841109468571887,0.210886338602671
29,X10054.3,0.3812375249501,0.0135701529050879,0.435835008175332
30,X10056.5,0.502994011976048,0.013347507120734,0.20116698104954
31,X10058.1,0.772455089820359,0.00841109468571887,-0.121679920575758
32,X10063.10,0.558882235528942,0.0116439379254397,0.367267417611732
33,X10064.12,0.223184543637575,0.0135701529050879,0.215643192479863
34,X10069.2,0.0288824705620973,0.0647820327325122,0.720462110729992
35,X10070.22,0.942115768463074,0.00442421239665635,-0.0374071680828726
36,X10073.22,0.784431137724551,0.00841109468571887,-0.025541413529095
37,X10074.128,0.0966022651565623,0.0428748339458897,0.383167240130396
38,X10075.75,0.912175648702595,0.00554470117785874,0.166758945982602
39,X10076.1,0.0712858094603598,0.047981423525464,0.457015199419623
40,X10078.5,0.113924050632911,0.0348065961559065,0.463087751544139
41,X10080.9,0.0199244500407377,0.0758880716531943,0.782143211998842
42,X10081.17,0.271457085828343,0.0135701529050879,0.414208112908646
43,X10082.251,0.838323353293413,0.00841109468571887,-0.167600127893075
44,X10085.25,0.55688622754491,0.0116439379254397,-0.0047017552770459
45,X10086.39,0.447105788423154,0.0135701529050879,0.205906807469103
46,X10087.10,0.407185628742515,0.0135701529050879,0.427007112110691
47,X10088.37,0.289421157684631,0.0135701529050879,0.369036478811811
48,X10089.7,0.582834331337325,0.0116439379254397,0.204630726608372
49,X10336.3,0.219560878243513,0.0135701529050879,0.523315301575283
50,X10339.48,0.848303393213573,0.00841109468571887,-0.186708089852373
51,X10342.55,0.331337325349301,0.0135701529050879,0.395933372830197
52,X10346.5,0.578842315369261,0.0116439379254397,0.0599058601377339
53,X10351.51,0.984031936127745,0.00187920064343338,-0.310408908153618
54,X10354.57,0.24750499001996,0.0135701529050879,0.300093493069564
55,X10356.21,0.171219187208528,0.0195374382375788,0.409379192821118
56,X10361.25,0.297405189620758,0.0135701529050879,0.285277451087889
57,X10362.35,0.796407185628742,0.00841109468571887,0.173397906247969
58,X10363.13,0.0212576846159544,0.0712540871088782,0.620114602346658
59,X10364.6,0.445109780439122,0.0135701529050879,0.312635623853911
60,X10365.132,0.00770313310125176,0.0909518180890702,0.588015177234026
61,X10366.11,0.123917388407728,0.0252326616592186,0.212450177430338
62,X10367.62,0.287425149700599,0.0135701529050879,0.56150910769555
63,X10370.21,0.558882235528942,0.0116439379254397,0.376166415444549
64,X10372.18,0.203864090606262,0.0135701529050879,0.308083111313084
65,X10382.1,0.588822355289421,0.0116439379254397,0.0148944718814948
66,X10390.21,0.508982035928144,0.0132159243588056,0.370204065557213
67,X10391.1,0.0275494334592313,0.0647820327325122,0.311584516911137
