,ROI,Pval,FDR,COR
1,X10000.28,0.765644418592603,0.0231066761690006,NA
2,X10001.7,0.70070775273189,0.0309267555543407,NA
3,X10003.15,0.524503177348341,0.0629619211055427,NA
4,X10006.25,0.490021885072163,0.0711142334948225,NA
5,X10008.43,0.947399347765805,0.00495288028605957,NA
6,X10010.10,0.944108123271119,0.00495288028605957,NA
7,X10011.65,0.093839628530733,0.254005336857079,NA
8,X10012.5,0.383475263876815,0.0974721541091704,NA
9,X10014.31,0.960448191747663,0.00450473845923085,NA
10,X10015.119,0.883289323107926,0.0119988707043688,NA
11,X10022.207,0.936635128031543,0.00543109373849295,NA
12,X10023.32,0.93464697693746,0.00543109373849295,NA
13,X10024.44,0.764157277508442,0.0231066761690006,NA
14,X10025.1,0.264047753872374,0.144006342352039,NA
15,X10030.8,0.0681138511430068,0.28778145762524,NA
16,X10035.6,0.00024211991366711,0.366709200275668,NA
17,X10037.98,0.353533810845565,0.107654469899947,NA
18,X10039.32,0.987810407493464,0.00178441527367351,NA
19,X10040.63,0.42429228916352,0.0875276724452301,NA
20,X10041.3,0.754407293332682,0.0234234841506714,NA
21,X10042.8,0.107982920936111,0.23790301488843,NA
22,X10043.31,0.988580382039816,0.00178441527367351,NA
23,X10045.47,0.202100659409626,0.17012716210164,NA
24,X10046.55,0.585365223084265,0.0528814206211863,NA
25,X10047.12,0.337021926035773,0.111678432162188,NA
26,X10048.7,0.72195775461362,0.0270798289195258,NA
27,X10049.112,0.799301310471693,0.0197783894179782,NA
28,X10053.5,0.389730558914976,0.0958860901503384,NA
29,X10054.3,0.628226862863576,0.0432829702940163,NA
30,X10056.5,0.174510404948655,0.18419388192608,NA
31,X10058.1,0.859086171077977,0.0145855211244756,NA
32,X10063.10,0.342140673489283,0.111045330809743,NA
33,X10064.12,0.811876628644468,0.019359836141561,NA
34,X10069.2,0.0491040849796268,0.320470308314492,NA
35,X10070.22,0.582025963876029,0.0532608453846515,NA
36,X10073.22,0.406648546488664,0.0915760911640359,NA
37,X10074.128,0.850550763128404,0.0152815215541598,NA
38,X10075.75,0.644858928027318,0.0407335824058265,NA
39,X10076.1,0.236299788310623,0.154957314562445,NA
40,X10078.5,0.703747775409243,0.0304195906286547,NA
41,X10080.9,0.24261168159556,0.153385931526758,NA
42,X10081.17,0.700273381147239,0.0309267555543407,NA
43,X10082.251,0.406293881551943,0.0915760911640359,NA
44,X10085.25,0.818930121659028,0.0188033390307699,NA
45,X10086.39,0.900193723934654,0.010463931489087,NA
46,X10087.10,0.882779918324388,0.0120412634892752,NA
47,X10088.37,0.124307410377448,0.220534866748083,NA
48,X10089.7,0.311833782047817,0.12183117844134,NA
49,X10336.3,0.99239509325186,0.00151449686409391,NA
50,X10339.48,0.743803563639464,0.025169591691766,NA
51,X10342.55,0.51905173712565,0.0630568102904692,NA
52,X10346.5,0.890630649691439,0.0119697620445284,NA
53,X10351.51,0.0178044512155459,0.360645924231242,NA
54,X10354.57,0.66585982194726,0.0366302599368516,NA
55,X10356.21,0.426762264182535,0.0871072775263056,NA
56,X10361.25,0.115627190692143,0.230312288615118,NA
57,X10362.35,0.568774598274925,0.0554084747586077,NA
58,X10363.13,0.171072272110206,0.186373566292259,NA
59,X10364.6,0.0310232776598971,0.336876750923555,NA
60,X10365.132,0.236897753055661,0.154848797969555,NA
61,X10366.11,0.00643653611320163,0.366709200275668,NA
62,X10367.62,0.152042525174818,0.19981327522576,NA
63,X10370.21,0.54810914066354,0.0588400169013781,NA
64,X10372.18,0.0729167019813659,0.273189370086852,NA
65,X10382.1,0.300293363590732,0.126338571523238,NA
66,X10390.21,0.0106930213201944,0.361889861200211,NA
67,X10391.1,0.702110783310696,0.0308711926093546,NA
68,X10396.6,0.00871105605692044,0.366709200275668,NA
69,X10398.110,0.325461260333713,0.116705423748886,NA
70,X10418.36,0.202173839381842,0.17012716210164,NA
71,X10419.1,0.195127033399765,0.173610945382326,NA
72,X10420.30,0.620861214722052,0.0444584148162073,NA
73,X10425.3,0.862074175818263,0.0141112636649579,NA
74,X10428.1,0.178981091464729,0.181265698714612,NA
75,X10430.31,0.958624029273002,0.00470183021436767,NA
76,X10432.3,0.0213246364698352,0.359292673734415,NA
77,X10435.2,0.848161906378692,0.0156765559659074,NA
78,X10438.19,0.395461396711125,0.0939094459966408,NA
79,X10439.57,0.204519234387795,0.16918741191519,NA
80,X10440.26,0.394023100524347,0.0940517078548286,NA
81,X10442.1,0.28943666456325,0.128998676710802,NA
82,X10445.20,0.42373515890034,0.0875276724452301,NA
83,X10447.18,0.89023100680134,0.0119697620445284,NA
84,X10449.31,0.785705827408843,0.0209974659797773,NA
85,X10451.11,0.0901175416174587,0.259107241329251,NA
86,X10453.7,0.614109620304283,0.0461119143121954,NA
87,X10454.99,0.425285032058031,0.0875276724452301,NA
88,X10455.196,0.668261022916489,0.0361751934332197,NA
89,X10457.3,0.551315297837977,0.0585263783425058,NA
90,X10462.14,0.458933553601395,0.0777327417335258,NA
91,X10463.23,0.0497319214396834,0.320470308314492,NA
92,X10464.6,0.505899341545754,0.0671322790175618,NA
93,X10472.53,0.147617207584862,0.203015994407302,NA
94,X10473.2,0.354062604124511,0.107654469899947,NA
95,X10479.18,0.500905031265205,0.0679636743784472,NA
96,X10480.33,0.667378289681686,0.036257560431471,NA
97,X10490.3,0.412887596230123,0.0910239319762005,NA
98,X10496.11,0.353362279710202,0.107654469899947,NA
99,X10499.1,0.968021595026082,0.00384604063067492,NA
100,X10505.12,0.165019192469936,0.191861723320046,NA
101,X10506.53,0.18204149027444,0.179401371024715,NA
102,X10507.166,0.107664789654361,0.237994201796268,NA
103,X10510.62,0.320730368471949,0.119704231022458,NA
104,X10512.13,0.114066810693407,0.232719817150012,NA
105,X10513.13,0.810328761960265,0.0193910959318848,NA
106,X10514.5,0.928881096735571,0.00618707928679199,NA
107,X10521.10,0.0122836731086866,0.361889861200211,NA
108,X10527.22,0.397976490465032,0.0931929197024364,NA
109,X10528.2,0.0606883672908893,0.303077149039494,NA
110,X10530.8,0.175921990131505,0.184166675925444,NA
111,X10531.18,0.375839221890941,0.0997563106192341,NA
112,X10534.40,0.317554660683294,0.120887659615131,NA
113,X10539.30,0.596695569415569,0.0494852698671052,NA
114,X10546.2,0.256429826844794,0.148214437348001,NA
115,X10550.37,0.219964529071672,0.161328975657064,NA
116,X10551.7,0.543811961686189,0.0591240863501003,NA
117,X10552.88,0.110541233897222,0.234650890678635,NA
118,X10553.8,0.542319379348229,0.0592386540458434,NA
119,X10557.6,0.994035672606886,0.00103163876189186,NA
120,X10558.26,0.0219443326751071,0.359292673734415,NA
121,X10560.1,0.155046132814001,0.198589040665997,NA
122,X10561.5,0.776676192008067,0.0218364830113262,NA
123,X10562.42,0.112283061926635,0.234425428126141,NA
124,X10563.13,0.555389148197069,0.0584996602345134,NA
125,X10565.19,0.02665191060774,0.358001659105734,NA
126,X10569.28,0.414514278707176,0.0905934952186576,NA
127,X10571.14,0.112378640014692,0.234377483822011,NA
128,X10572.65,0.0175510577736833,0.360645924231242,NA
129,X10574.10,0.930775950342027,0.00569650537706685,NA
130,X10575.31,0.0348262546574741,0.333994112142481,NA
131,X10576.7,0.253678546888441,0.149358081820932,NA
132,X10580.14,0.23608138799181,0.155010941509907,NA
133,X10582.36,0.0261645940241899,0.358001659105734,NA
134,X10583.1,0.292814482083547,0.128656352757574,NA
135,X10584.7,0.299472400741852,0.126386614980338,NA
136,X10588.39,0.112193359398936,0.234425428126141,NA
137,X10589.7,0.0037895005417061,0.366709200275668,NA
138,X10605.22,0.961890929335095,0.00423582810262715,NA
139,X10606.34,0.0445847875696686,0.321636586545307,NA
140,X10608.9,0.311224712996172,0.122216352511253,NA
141,X10612.18,0.614794948608594,0.0461119143121954,NA
142,X10613.33,0.360340944391511,0.105413271103247,NA
143,X10615.18,0.255619943253326,0.148556254978038,NA
144,X10616.67,0.824800094283409,0.0179421681126859,NA
145,X10618.190,0.0277209199727749,0.352079704722366,NA
146,X10620.21,0.17279646490014,0.186148912151004,NA
147,X10621.26,0.915855200635419,0.00800889050440516,NA
148,X10623.19,0.623426670938261,0.0441371309393396,NA
149,X10624.45,0.232492717602823,0.156216083145775,NA
150,X10626.116,0.664054991509182,0.0373069878363408,NA
